Kerry Locations,PepsiCo Locations (Food),State,Population,Social Index Current,Change in SD index,SD Past,Rt Current,Rt Past,Change in Rt,Stratified Rt,tests per case,Test Increase Current,Change in Pos Test Increase,Increase in Pos Tests Past,Per Capita Positive Tests (July 07 - July 13) per 100K,TPR Current,Change in Test Positive Rate,TPR Past,Stratified Test Positive Rate,Outbreak Index,Weekly Deaths Current,Change in Weekly Deaths,Weekly Deaths Past,Weekly Death Rate per 100K Population,Total Deaths Current,Change in Total Deaths,Total Deaths Past,Cumulative Death Rate per 100K,Total Tests Current,Change in Total Tests,Total Tests Past,Tests per 100K Population
x,x,NV*,"3,080,156",,-34,34,0.998915886,0.998915886,0,#REF!,12.20182292,7368,0,7368,239.2086635,18%,0%,18%,#REF!,#REF!,108,0,108,4,847,0,847,27.5,40187,0,40187,1305
"North Rose, NY
Norwich, NY","Binghampton, NY ",NY,"19,453,561",,-39,39,0.941745766,0.941745766,0,#REF!,8.131632083,4499,0,4499,23.12687122,1%,0%,1%,#REF!,#REF!,55,0,55,0,25172,0,25172,129.4,455625,0,455625,2342
"Byesville, OH","Canton, OH
Wooster, OH",OH,"11,689,100",,-26,26,0.918456295,0.918456295,0,#REF!,10.27509747,8786,0,8786,75.16404171,5%,0%,5%,#REF!,#REF!,195,0,195,2,3539,0,3539,30.3,191445,0,191445,1638
x,x,OK,"3,956,971",,-26,26,1.043410981,1.043410981,0,#REF!,32.95646067,5916,0,5916,149.5082981,8%,0%,8%,#REF!,#REF!,55,0,55,1,551,0,551,13.9,69749,0,69749,1763
x,x,OR†,"4,217,737",,-30,30,1.012149811,1.012149811,0,#REF!,30.11691023,2278,0,2278,54.01000584,7%,0%,7%,#REF!,#REF!,39,0,39,1,328,0,328,7.8,34565,0,34565,820
x,"Williamsport, PA
York, PA ",PA,"12,801,989",,-28,28,1.009953100,1.009953100,0,#REF!,5.791806488,5891,0,5891,46.016287,6%,0%,6%,#REF!,#REF!,87,0,87,1,7209,0,7209,56.3,105881,0,105881,827
x,x,RI,"1,059,361",,-26,26,1.137721035,1.137721035,0,#REF!,9.747511786,731,0,731,69.00386176,5%,0%,5%,#REF!,#REF!,6,0,6,1,1010,0,1010,95.3,13448,0,13448,1269
x,x,SC†,"5,148,714",,-28,28,0.910794335,0.910794335,0,#REF!,24.93460166,10534,0,10534,204.5947784,14%,0%,14%,#REF!,#REF!,287,0,287,6,1793,0,1793,34.8,72774,0,72774,1413
x,x,SD,"884,659",,-25,25,1.089466954,1.089466954,0,#REF!,6.76754386,576,0,576,65.10983328,7%,0%,7%,#REF!,#REF!,12,0,12,1,135,0,135,15.3,7821,0,7821,884
"Crossville, TN","Fayetteville, TN
Pulaski, TN ",TN,"6,829,174",,-26,26,0.980140281,0.980140281,0,#REF!,17.46563523,14147,0,14147,207.1553602,9%,0%,9%,#REF!,#REF!,114,0,114,2,1092,0,1092,16.0,163081,0,163081,2388
"Forth Worth, TX","Arlington, TX
Irving, TX
Rosenberg, TX
San Antonia, TX",TX*,"28,995,881",,-36,36,0.933380324,0.933380324,0,#REF!,17.09735725,56091,0,56091,193.4447172,14%,0%,14%,#REF!,#REF!,1303,0,1303,4,7016,0,7016,24.2,405704,0,405704,1399
,"Salt Lake City, UT",UT,"3,205,958",,-28,28,1.031750200,1.031750200,0,#REF!,24.75475285,3120,0,3120,97.31880455,10%,0%,10%,#REF!,#REF!,33,0,33,1,314,0,314,9.8,30324,0,30324,946
"Harrisonburg, VA","Lynchburg, VA ",VA,"8,535,519",,-30,30,1.023290643,1.023290643,0,#REF!,5.528127184,7034,0,7034,82.40857996,6%,0%,6%,#REF!,#REF!,136,0,136,2,2218,0,2218,26.0,115897,0,115897,1358
,x,VT,"623,989",,-25,25,0.876611653,0.876611653,0,#REF!,55.98,25,0,25,4.006480883,0%,0%,0%,#REF!,#REF!,1,0,1,0,8,0,8,1.3,6621,0,6621,1061
"Seattle, WA
Summer, WA","Vancouver, WA",WA†,"7,614,893",,-30,30,1.012360474,1.012360474,0,#REF!,20.17057221,5538,0,5538,72.72590698,6%,0%,6%,#REF!,#REF!,95,0,95,1,57,0,57,0.7,88933,0,88933,1168
"Beloit, WI
Jackson, WI
Manitowoc, WI
Owen, WI
Rhinelander, WI
Rothschilde, WI
Sturtevant, WI
Vesper, WI","Beloit, WI",WI,"5,822,434",,-26,26,0.985503389,0.985503389,0,#REF!,11.01313003,6120,0,6120,105.1106805,7%,0%,7%,#REF!,#REF!,56,0,56,1,1596,0,1596,27.4,93650,0,93650,1608
x,x,WV,"1,792,147",,-26,26,0.979648172,0.979648172,0,#REF!,76.80473373,919,0,919,51.27927564,3%,0%,3%,#REF!,#REF!,11,0,11,1,117,0,117,6.5,29013,0,29013,1619
x,x,WY†,"578,759",,-26,26,1.058600519,1.058600519,0,#REF!,29.74712644,328,0,328,56.67298478,5%,0%,5%,#REF!,#REF!,2,0,2,0,27,0,27,4.7,6537,0,6537,1129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Avg: 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STDEV: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
